"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
734|"4CxFN5zON70B3VOPBYbd6P"|"Jeremy Zucker"|"you were good to me"|219146|"brent"|1|"2019-05-03"|5|0.561|0.0848|2|-15.099|1|0.0404|0.913|2.62e-05|0.112|0.206|102.128|4
735|"74obE3q5hQtgt84PUOBi1D"|"Cara Bateman"|"I Wrote This For You"|298098|"I Wrote This For You"|1|"2021-06-25"|1|0.805|0.105|1|-9.876|1|0.0455|0.699|0.000723|0.102|0.26|128.2|3
736|"4THgqBGsTYJcNcQWCV92AP"|"Lucy Rose"|"Conversation"|229560|"Conversation"|1|"2019-01-10"|1|0.242|0.137|2|-16.332|0|0.0322|0.901|0.0105|0.167|0.0644|92.454|3
737|"64DZ2i9qbyUpjuh67hOU5t"|"James Spaite"|"Maple Whisky"|232056|"Maple Whisky"|1|"2018-12-07"|1|0.669|0.258|0|-15.843|1|0.0556|0.613|0.00134|0.088|0.24|140.101|3
738|"7rbCL7W893Zonbfnevku5s"|"The National"|"I Need My Girl"|245240|"Trouble Will Find Me"|10|"2013-05-27"|13|0.523|0.438|0|-11.49|0|0.0356|0.867|0.0723|0.123|0.106|126.028|4
739|"6PowfeWOvFBlueUpvct3HI"|"LØLØ"|"Dear First Love,"|196661|"Dear First Love,"|1|"2020-09-25"|3|0.524|0.323|10|-6.06|1|0.0262|0.25|7.57e-05|0.107|0.236|79.787|4
740|"5GZEeowhvSieFDiR8fQ2im"|"Damien Rice"|"9 Crimes"|217946|"9"|1|"2006-11-06"|10|0.346|0.139|0|-15.326|1|0.0321|0.913|7.73e-05|0.0934|0.116|136.168|4
741|"6xFSWmXNlzzM8g9MuABaTe"|"little dipper"|"guilt trip"|147815|"guilt trip"|1|"2020-10-27"|1|0.76|0.337|0|-12.594|1|0.085|0.232|0|0.115|0.508|104.98|4
742|"2nC3QhMI9reBIOWutbU3Tj"|"Ashe"|"Moral of the Story"|201083|"Moral of the Story"|1|"2019-02-14"|1|0.572|0.406|10|-8.624|1|0.0427|0.587|4.48e-06|0.102|0.265|119.812|4
743|"4Ao5JXfOIMJGlVo8sJpjFr"|"Band of Horses"|"The Funeral"|321146|"The Road Mix: Music From The Television Series One Tree Hill Vol. 3"|4|"2007-04-02"|16|0.316|0.769|0|-5.285|0|0.0422|0.0143|0|0.0928|0.118|122.458|4
744|"0x4CFzoSdqVq5qTGgwZFuX"|"Valentin"|"Fix You"|240000|"Fix You"|1|"2019-11-22"|1|0.5|0.185|1|-13.209|1|0.0302|0.671|0|0.0827|0.159|140.148|4
745|"70HWRkitkAKfos500LBk0T"|"Passenger"|"Simple Song"|228480|"The Boy Who Cried Wolf"|1|"2017-07-28"|10|0.631|0.402|5|-11.125|1|0.0286|0.616|0.0114|0.0892|0.598|78.0|4
746|"3Wd3mAficthmcUcCICvwSG"|"The Head And The Heart"|"Down In The Valley"|303653|"The Head And The Heart"|4|"2010"|10|0.417|0.403|0|-10.478|1|0.0291|0.562|0.0282|0.113|0.169|105.807|4
747|"5Hd6DPGjqihEnWSiGRzqr6"|"Of Monsters and Men"|"Sinking Man - The Walking Dead Soundtrack"|166560|"The Walking Dead (AMC’s Original Soundtrack – Vol. 1)"|6|"2013-01-01"|8|0.684|0.0646|10|-18.052|1|0.0522|0.905|1.86e-05|0.0789|0.334|95.99|3
748|"0F8wygPqJTpKELM9WlcSvS"|"thom.ko"|"Confusion"|205081|"Confusion"|1|"2020-08-13"|1|0.619|0.523|0|-6.876|1|0.279|0.787|0|0.128|0.132|121.957|4
749|"1gANYFsOT41zu2cdSC06iD"|"Oasis"|"Talk Tonight"|261106|"The Masterplan"|3|"1998-11-02"|14|0.355|0.452|4|-8.42|0|0.0265|0.449|3.71e-05|0.371|0.351|83.93|4
750|"6xk9axQDuqvEqnv6gwAkZV"|"Lists"|"Millie & Ivor - Alternate"|242912|"Millie & Ivor (Alternate)"|1|"2020-12-18"|1|0.559|0.164|8|-15.463|1|0.0356|0.966|0.00183|0.0658|0.228|121.558|4
751|"7kpZ9isu48poYKpaAb0wiR"|"Mumford & Sons"|"Cold Arms"|169906|"Wilder Mind"|9|"2015-05-01"|12|0.431|0.144|11|-12.07|1|0.039|0.815|1.1e-06|0.124|0.0491|137.683|4
752|"6dZO9UMcM7c1YLDBpEHwED"|"AFTRHOURS"|"She Kind of Looks Like You"|204241|"She Kind of Looks Like You"|1|"2017-07-21"|1|0.9|0.255|6|-12.664|1|0.221|0.632|3.91e-05|0.0953|0.483|94.978|4
