"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
202|"3JjEwFcEhiaI5aaoyaHUMS"|"PENTAGON"|"Basquiat"|197826|"Road to Kingdom FINAL"|4|"2020-06-12"|5|0.59|0.859|11|-3.011|0|0.109|0.103|0|0.375|0.701|137.923|4
203|"0BNhwRWWjBWTTEMDncprUt"|"MCND"|"nanana"|192213|"EARTH AGE"|2|"2020-08-20"|7|0.729|0.881|6|-2.132|0|0.0602|0.0206|0|0.269|0.507|104.992|4
204|"1U1eTIwuhpuAB3q8hZJTNC"|"BOBBY"|"HOLUP!"|211931|"The MOBB"|1|"2016-09-07"|1|0.666|0.948|10|-2.776|1|0.0638|0.137|0|0.192|0.523|100.996|4
205|"3oJ7NaVHfhZBR0Yl9L3AhF"|"Stray Kids"|"District 9"|211762|"I am NOT"|2|"2018-03-26"|7|0.529|0.956|9|-1.889|1|0.265|0.0124|3.6e-06|0.119|0.559|179.989|4
206|"3e2blQpgdH9pIrrGFI6SZw"|"WINNER"|"걔 세 I'm Him"|172714|"2014 S/S"|4|"2014-08-11"|10|0.876|0.766|11|-6.324|1|0.186|0.0298|0.0004|0.0864|0.771|104.998|4
207|"1x60WPvUlRvUZFMaMMDGQi"|"NCT 127"|"MAD DOG"|183186|"NCT #127 Neo Zone - The 2nd Album"|7|"2020-03-06"|13|0.645|0.866|2|-3.415|1|0.381|0.206|0|0.0976|0.606|157.831|4
208|"0UsHnRSfWyviHYhqsLMi0g"|"ATEEZ"|"Desire"|234508|"TREASURE EP.2: Zero To One"|3|"2019-01-15"|5|0.58|0.81|0|-4.503|1|0.102|0.0146|0|0.702|0.574|101.971|4
209|"13i4C0TSSRZizxDxkqn7Ne"|"24K"|"Superfly"|191191|"THE REAL ONE"|5|"2016-10-22"|12|0.65|0.958|11|-2.176|1|0.136|0.0508|0|0.371|0.62|96.559|4
210|"7ruSvscfXs9cGBJo3bHNDn"|"Stray Kids"|"Maze of Memories"|175175|"Clé 1 : MIROH"|4|"2019-03-25"|7|0.711|0.699|10|-4.049|0|0.279|0.194|0|0.108|0.089|129.915|4
211|"2UKT6K3gydaJ8MGDgeQtQz"|"ZICO"|"BERMUDA TRIANGLE"|207026|"BERMUDA TRIANGLE"|1|"2016-11-28"|1|0.469|0.819|3|-3.469|0|0.306|0.0592|0|0.178|0.334|89.013|4
