"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
711|"1pjvlYOMIg1NhGQbM6iwrY"|"Major Lazer"|"Light It Up (feat. Nyla & Fuse ODG) [Remix]"|166138|"Peace Is The Mission : Extended"|10|"2015-11-27"|14|0.747|0.877|9|-3.782|0|0.0664|0.0375|0.000833|0.233|0.752|107.991|4
712|"1gihuPhrLraKYrJMAEONyc"|"Calvin Harris"|"Feel So Close - Radio Edit"|206413|"18 Months"|3|"2012-10-29"|15|0.707|0.924|7|-2.842|1|0.031|0.000972|0.00703|0.204|0.919|127.937|4
713|"1YR7VB3xx85Iad2n3soyMb"|"Cristian D"|"Amsterdam"|173534|"Amsterdam"|1|"2022-01-13"|1|0.908|0.52|0|-7.688|0|0.0782|0.0457|0|0.109|0.81|134.046|4
714|"76OfzNtY3nG5hCnh5COSjt"|"SBMG"|"LIT"|204410|"Metro 53"|7|"2018-06-22"|14|0.913|0.772|7|-8.009|1|0.363|0.0166|0|0.251|0.681|100.076|4
715|"0VzzzYWjBWofMsSB77pDo4"|"Zara Larsson"|"Lush Life"|202213|"Lush Life"|1|"2015-06-05"|1|0.658|0.741|7|-2.86|0|0.0536|0.141|0|0.189|0.789|98.024|4
716|"6epn3r7S14KUqlReYr77hA"|"Justin Bieber"|"Baby"|214240|"My World 2.0"|1|"2010-01-01"|10|0.728|0.859|5|-5.237|0|0.137|0.0401|0|0.111|0.535|65.043|4
717|"09CtPGIpYB4BrO8qb1RGsF"|"Justin Bieber"|"Sorry"|200786|"Purpose (Deluxe)"|4|"2015-11-13"|19|0.654|0.76|0|-3.669|0|0.045|0.0797|0|0.299|0.41|99.945|4
718|"2vMQmBmcmFsdLQQgXl3PtE"|"ABBA"|"Waterloo"|166053|"Waterloo (Deluxe Edition)"|1|"1974-03-04"|19|0.445|0.882|2|-6.575|1|0.045|0.193|1.32e-05|0.0854|0.834|147.166|4
719|"3lKN03PDeBnXZS7sDukRBt"|"ABBA"|"Money, Money, Money"|186426|"Arrival"|6|"1976"|12|0.787|0.704|9|-6.873|0|0.0385|0.535|0.00305|0.089|0.646|120.701|4
720|"2HPB3px8MJZRMfu1L65Z41"|"ABBA"|"Does Your Mother Know"|193440|"Voulez-Vous"|6|"1979"|13|0.728|0.865|7|-5.68|1|0.0364|0.151|2.43e-05|0.0906|0.975|135.571|4
