"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
587|"7pVDDf69OWLVpGqihFbV2x"|"Backhouse Mike"|"Okay"|280987|"Okay"|1|"2006-01-01"|1|0.484|0.581|10|-7.886|1|0.03|0.177|1.77e-06|0.169|0.29|93.04|4
588|"5x4R7DNsMj5ZFSJR63GVjV"|"Ricky Montgomery"|"This December - slow"|213783|"This December (slow)"|1|"2021-12-01"|2|0.675|0.836|6|-5.205|1|0.0355|0.0201|1.26e-06|0.0667|0.827|118.987|4
589|"4K3gM7kzX4POAfrs71HomN"|"Conan Gray"|"Lookalike"|220866|"Sunset Season"|5|"2018-11-16"|5|0.434|0.302|10|-10.117|1|0.0378|0.766|7.63e-06|0.149|0.173|121.645|4
590|"2mAy8zQhZJICLFUEVGQzbE"|"Conan Gray"|"The Other Side"|172933|"The Other Side"|1|"2019-02-08"|1|0.602|0.471|5|-10.045|1|0.0406|0.515|3.29e-05|0.222|0.256|107.904|4
591|"2nC3QhMI9reBIOWutbU3Tj"|"Ashe"|"Moral of the Story"|201083|"Moral of the Story"|1|"2019-02-14"|1|0.572|0.406|10|-8.624|1|0.0427|0.587|4.48e-06|0.102|0.265|119.812|4
592|"48SdtsEKujibZPrd6UMfAr"|"Lana Del Rey"|"Diet Mountain Dew"|222920|"Born To Die"|5|"2011-01-01"|13|0.459|0.684|10|-5.971|0|0.0881|0.285|0|0.425|0.605|175.728|4
593|"5URfZHMlUWTWxPvvSBWcPk"|"John Lennon"|"Beautiful Boy (Darling Boy) - Remastered 2010"|245693|"Double Fantasy"|7|"1980-11-17"|14|0.574|0.469|2|-11.53|1|0.0403|0.733|1.96e-06|0.856|0.435|111.378|4
594|"429NtPmr12aypzFH3FkN9l"|"beabadoobee"|"Coffee"|126824|"Coffee"|1|"2017-11-04"|1|0.532|0.137|9|-18.208|1|0.0717|0.982|0.962|0.112|0.301|118.734|4
595|"7LNm1oWd6PniO9wRYpNY5o"|"Delaney Bailey"|"j's lullaby (darlin' i'd wait for you)"|290132|"j's lullaby (darlin' i'd wait for you)"|1|"2022-01-07"|1|0.54|0.11|8|-19.885|1|0.0328|0.498|0.000614|0.0781|0.172|76.068|4
596|"4A3zikD2GQq7x2LM4gtLEI"|"Aislinn Davis"|"Gwen"|223068|"Gwen"|1|"2022-01-04"|1|0.458|0.00531|3|-29.72|1|0.0558|0.94|0|0.182|0.326|92.827|4
597|"7q5kKe4RyUFSGlxX0PKXaN"|"Sara-Danielle"|"scared"|256151|"scared"|1|"2020-10-30"|1|0.614|0.605|0|-11.04|0|0.0338|0.551|0.315|0.106|0.373|91.994|4
598|"0lRrAowblrqtlInGwgC7oF"|"Nicotine's Famous Honey"|"The First Time"|203368|"The First Time"|1|"2017-04-18"|1|0.667|0.452|0|-10.035|1|0.027|0.357|0.000556|0.137|0.519|95.016|4
599|"1Qu24vc8msUVLcMZWa4k1x"|"Omar Apollo"|"Want U Around (feat. Ruel)"|247720|"Apolonio"|3|"2020-10-16"|9|0.571|0.443|0|-6.76|1|0.0451|0.3|6.95e-06|0.101|0.621|143.923|3
600|"1boXOL0ua7N2iCOUVI1p9F"|"Daniel Caesar"|"Japanese Denim"|270846|"Get You - Single"|2|"2016-10-21"|2|0.707|0.238|3|-8.818|1|0.0379|0.0905|2.42e-06|0.0842|0.345|124.156|3
601|"0qQ9VcVPkWDTnff6HIhISU"|"Los Retros"|"Someone To Spend Time With"|173953|"Someone To Spend Time With"|1|"2019-02-12"|1|0.817|0.471|9|-13.301|1|0.0335|0.0529|0.224|0.106|0.962|89.551|4
602|"3eX6q8ys28dIq4H83UUgPx"|"Samia"|"Show Up"|201053|"Show Up"|1|"2021-06-01"|1|0.538|0.431|0|-8.732|1|0.0288|0.201|1.53e-05|0.11|0.286|82.976|4
603|"3GZD6HmiNUhxXYf8Gch723"|"Frank Ocean"|"Lost"|234093|"channel ORANGE"|11|"2012-07-10"|17|0.913|0.603|8|-4.892|1|0.226|0.0272|0.000503|0.167|0.497|123.061|4
604|"4R2kfaDFhslZEMJqAFNpdd"|"Taylor Swift"|"cardigan"|239560|"folklore"|2|"2020-07-24"|16|0.613|0.581|0|-8.588|0|0.0424|0.537|0.000345|0.25|0.551|130.033|4
605|"0lx2cLdOt3piJbcaXIV74f"|"Taylor Swift"|"willow"|214706|"evermore"|1|"2020-12-11"|15|0.392|0.574|7|-9.195|1|0.17|0.833|0.00179|0.145|0.529|81.112|4
606|"0sY6ZUTh4yoctD8VIXz339"|"Taylor Swift"|"champagne problems"|244000|"evermore"|2|"2020-12-11"|15|0.462|0.24|0|-12.077|1|0.0377|0.92|0|0.113|0.32|171.319|4
607|"7dW84mWkdWE5a6lFWxJCBG"|"Taylor Swift"|"‘tis the damn season"|229840|"evermore"|4|"2020-12-11"|15|0.575|0.434|5|-8.193|1|0.0312|0.735|6.59e-05|0.105|0.348|145.916|4
608|"7mZ19pGoinaWwanIDq0JTY"|"keshi"|"TOUCH"|205346|"TOUCH"|1|"2022-02-04"|1|0.412|0.613|10|-9.803|1|0.125|0.528|1.96e-06|0.104|0.314|89.025|4
609|"7IBI2S33PMaIM9pARvpIJY"|"Luna Li"|"Silver Into Rain"|201869|"Silver Into Rain"|1|"2022-02-01"|1|0.528|0.56|2|-6.3|1|0.0295|0.447|0.00904|0.0945|0.475|105.102|4
610|"2lO8mP1QvI7RizGcBYQ7Mx"|"Clairo"|"How - demo"|127040|"diary 001"|6|"2018-05-25"|6|0.649|0.428|8|-4.584|0|0.0313|0.766|0.00294|0.0816|0.514|77.057|4
611|"0T5iIrXA4p5GsubkhuBIKV"|"Stephen Sanchez"|"Until I Found You"|177720|"Until I Found You"|1|"2021-09-01"|1|0.539|0.508|10|-6.05|1|0.0288|0.727|0|0.174|0.227|101.358|3
612|"7yR5ZDif2glYMnFP73uRMm"|"The Honeysticks"|"Out Like a Light"|256018|"Out Like a Light"|1|"2017-06-16"|1|0.522|0.458|11|-7.785|1|0.0275|0.17|0.00244|0.072|0.359|125.973|3
613|"4LRPiXqCikLlN15c3yImP7"|"Harry Styles"|"As It Was"|167303|"As It Was"|1|"2022-03-31"|1|0.52|0.731|6|-5.338|0|0.0557|0.342|0.00101|0.311|0.662|173.93|4
614|"55OlGT0r7dPTNuBlZXOjeA"|"5 Seconds of Summer"|"Take My Hand"|239865|"Take My Hand"|1|"2022-04-01"|2|0.554|0.485|0|-8.691|1|0.036|0.266|0|0.12|0.0952|126.02|4
615|"5meVa5klVlJalupZTvv5XX"|"Gracie Abrams"|"21"|185172|"minor"|2|"2020-07-14"|7|0.759|0.665|2|-6.338|1|0.0861|0.494|0|0.109|0.391|125.056|4
616|"6ps0RcnIrPoiMd9vfcA9KB"|"ROLE MODEL"|"neverletyougo"|178120|"neverletyougo"|1|"2022-03-25"|1|0.793|0.328|8|-10.412|1|0.273|0.318|0|0.136|0.409|147.039|4
617|"66BnVsWUtsj14fTZdUDeVb"|"Blake Ruby"|"Dirty Laundry"|284918|"A Lesser Light to Rule the Night"|4|"2019-11-15"|7|0.503|0.376|11|-12.37|0|0.0286|0.214|0.00472|0.164|0.226|88.124|4
618|"2B8A2Ww4nBypZqhRZVqJPV"|"Peach Pit"|"Brian's Movie"|233933|"You and Your Friends"|5|"2020-04-03"|12|0.752|0.49|7|-8.317|1|0.0326|0.0173|0|0.0555|0.45|108.037|4
619|"2P4qoMmSqElFcI7GYaPLwf"|"Alann8h"|"My Mind Is a Maze"|146677|"Dumb Daze"|2|"2020-05-14"|6|0.85|0.223|1|-11.46|1|0.0705|0.671|3.23e-05|0.0914|0.468|95.008|4
620|"28Obqqr7EtnSNul1TJiQcX"|"Delaney Bailey"|"Oh Love"|164666|"Oh Love"|1|"2022-04-29"|1|0.539|0.319|8|-14.928|1|0.0283|0.845|3.6e-05|0.112|0.563|148.103|4
621|"57V4uc2b2diZ4RPHXWecb9"|"Hozier"|"Like Real People Do"|198026|"Hozier (Expanded Edition)"|10|"2014-09-19"|15|0.539|0.179|7|-14.33|1|0.0309|0.921|0.393|0.106|0.145|140.01|3
622|"6S4NRqNCYpsxlxMtSFKxh2"|"Mr Little Jeans"|"Intentions"|208146|"Intentions"|1|"2022-04-22"|4|0.629|0.525|2|-6.86|1|0.0443|0.133|0.047|0.0782|0.25|168.002|4
623|"4d1CG5ei1E2vGbvmgf5KKv"|"Taylor Swift"|"This Love (Taylor’s Version)"|250100|"This Love (Taylor’s Version)"|1|"2022-05-06"|2|0.47|0.494|4|-8.672|1|0.0349|0.302|0|0.0672|0.0524|144.039|4
624|"5MaDeMdqsPsZTxNWdEZPVH"|"MAMAMOO"|"Starry Night"|211236|"Yellow Flower"|3|"2018-03-07"|7|0.58|0.773|9|-3.302|0|0.05|0.656|0|0.112|0.506|124.148|4
