"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
300|"2Ms8MDDtYBw7M3K5F3EqPX"|"Mimi Webb"|"Dumb Love"|207068|"Dumb Love"|1|"2021-06-11"|1|0.569|0.422|0|-5.856|1|0.0302|0.0296|0|0.0613|0.175|76.96|4
301|"2JuIs3XJlYPy8vBO66CEkJ"|"Bazzi"|"Star"|169872|"COSMIC"|4|"2018-04-12"|16|0.694|0.389|8|-5.41|1|0.0706|0.3|0|0.158|0.409|90.984|4
302|"5z14e4rPImlgk40W33dt0U"|"Healy"|"Nikes On"|162289|"Nikes On"|1|"2020-03-05"|1|0.825|0.313|9|-9.564|1|0.218|0.635|0.000166|0.107|0.242|83.014|4
303|"1NFNa1nGPnwdmcHO5XQ7Ui"|"Maasho"|"Fresh Air"|210461|"Fresh Air"|1|"2019-06-21"|1|0.785|0.66|3|-3.189|1|0.101|0.201|0|0.104|0.475|129.998|4
304|"2Rtj1B24RTIrIg2TMQ8WS9"|"Valntn"|"Mona Lisa"|157019|"Mona Lisa"|2|"2019-07-10"|2|0.886|0.59|1|-5.14|0|0.0515|0.0493|0|0.28|0.787|119.934|4
305|"2pyjbGTpJCPjMYwCbdymiF"|"Ruel"|"Dazed & Confused"|189608|"Dazed & Confused"|1|"2018-04-27"|1|0.688|0.5|2|-7.411|1|0.138|0.102|0|0.355|0.418|127.906|3
306|"28TkNtKHx6UnOZuoyv3Jzv"|"Sofia Mills"|"Coffee Breath"|163902|"Coffee Breath"|1|"2018-03-09"|1|0.866|0.211|11|-12.676|0|0.0404|0.974|0|0.0987|0.198|101.295|4
307|"45O0tUN9Bh6LH4eNxQ07AT"|"Sean Kingston"|"Eenie Meenie"|201653|"Eenie Meenie EP"|2|"2020-02-28"|3|0.734|0.639|1|-3.241|1|0.0316|0.0348|0|0.102|0.836|121.212|4
308|"4h7CVH9xtHoYSlEV5Dpamk"|"Jeremy Zucker"|"18"|150015|"18"|1|"2021-06-24"|1|0.787|0.585|4|-5.384|1|0.0474|0.0319|0|0.109|0.591|113.991|4
309|"08ZFO4ONTelCXs1Q5YRMcW"|"ella jane"|"nothing else i could do"|170000|"nothing else i could do"|1|"2020-07-16"|1|0.788|0.545|3|-7.647|1|0.0487|0.475|0.0138|0.134|0.583|119.948|4
310|"7yw1S0euAJViNQ6cEUXuEh"|"Zachary Knowles"|"dancing in the kitchen"|177420|"dancing in the kitchen"|1|"2021-04-16"|1|0.819|0.652|2|-8.466|1|0.0515|0.124|0.000752|0.527|0.967|126.01|4
311|"1SdItcSOTD14tvIo8UzA6k"|"Forrest Nolan"|"Summer Vibe"|200292|"Summer Vibe"|1|"2021-05-12"|1|0.891|0.627|4|-8.458|1|0.0566|0.435|0|0.266|0.922|136.024|4
